alpha_gate,gate,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,RHOTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,"GT_IDs
"
0.2,0.3,69.048,66.767,71.877,71.294,84.238,76.753,84.672,87.008,71.523,80.543,84.481,68.043,77.825,85.252,78.187,81.41,96.192,57.522,28.024,14.454,43872,10018,1737,195,195,95,49,317,65.819,81.032,74.806,88.388,40313,13577,5296,45609,53890,420,"339
"
0.4,0.6,66.864,66.182,68.064,71.423,83.101,76.487,78.375,86.905,69.646,78.127,84.025,65.646,76.669,85.193,77.181,81.564,94.9,56.047,29.794,14.159,43955,9935,2362,276,190,101,48,372,64.592,77.226,71.8,83.54,38693,15197,7624,46317,53890,322,"339
"
0.3,0.3,69.74,66.977,73.08,71.502,84.263,77.734,85.124,86.977,72.228,81.471,84.419,68.777,78.291,85.204,78.599,81.728,96.313,56.932,28.319,14.749,44043,9847,1686,166,193,96,50,301,66.199,82.239,76.012,89.578,40963,12927,4766,45729,53890,415,"339
"
0.0,0.0,69.178,67.265,71.604,71.653,84.513,76.77,84.145,87.019,71.569,80.642,84.553,68.185,78.473,85.154,78.72,81.752,96.424,56.637,28.024,15.339,44056,9834,1634,133,192,95,52,266,66.336,80.922,74.765,88.183,40291,13599,5399,45690,53890,398,"339
"
0.1,1.0,63.822,64.919,63.269,71.377,81.142,76.52,70.58,86.752,67.114,74.779,83.44,62.396,74.342,85.177,75.203,81.585,92.745,55.752,30.678,13.569,43966,9924,3439,464,189,104,46,539,62.249,72.424,68.066,77.378,36681,17209,10724,47405,53890,218,"339
"
0.6,0.8,64.273,65.796,63.335,71.706,81.974,75.698,72.276,86.646,67.298,75.384,83.534,62.971,76.255,84.842,76.901,82.188,93.956,57.522,29.794,12.684,44291,9599,2849,348,195,101,43,412,63.797,73.38,68.785,78.634,37068,16822,10072,47140,53890,240,"339
"
0.0,1.0,62.082,64.727,60.093,71.423,80.748,75.333,66.604,86.677,65.415,72.857,83.193,60.612,73.748,85.123,74.843,81.648,92.307,54.277,32.743,12.979,44000,9890,3667,590,184,111,44,608,61.602,69.429,65.42,73.961,35255,18635,12412,47667,53890,188,"339
"
0.5,0.8,64.321,65.658,63.544,71.568,81.981,75.651,73.057,86.717,67.347,75.38,83.627,63.038,75.732,84.945,76.365,81.832,93.738,56.342,29.499,14.159,44099,9791,2946,341,191,100,48,399,63.412,73.102,68.46,78.421,36893,16997,10152,47045,53890,264,"339
"
0.7,0.6,67.597,66.779,68.932,72.072,83.123,77.554,78.842,86.869,70.411,78.967,84.068,66.386,77.397,85.114,77.803,82.255,94.866,57.817,27.729,14.454,44327,9563,2399,219,196,94,49,340,65.152,78.258,73.056,84.257,39370,14520,7356,46726,53890,314,"339
"
0.5,0.1,69.319,67.302,71.854,71.693,84.513,76.778,84.479,87.017,71.714,80.812,84.552,68.328,78.517,85.153,78.77,81.8,96.428,56.932,28.614,14.454,44082,9808,1633,136,193,97,49,270,66.373,81.004,74.86,88.247,40342,13548,5373,45715,53890,404,"339
"
0.8,0.6,67.36,66.66,68.57,72.062,82.944,77.813,77.934,86.841,70.221,78.917,83.92,66.226,77.445,85.103,77.799,82.34,94.774,57.522,29.204,13.274,44373,9517,2447,191,195,99,45,318,65.179,78.372,73.231,84.289,39464,14426,7356,46820,53890,288,"339
"
0.1,0.2,69.406,67.188,72.162,71.685,84.333,76.94,85.252,86.976,71.863,81.099,84.412,68.457,78.464,85.231,78.753,81.878,96.324,57.227,28.319,14.454,44124,9766,1684,156,194,96,49,282,66.371,81.785,75.652,89,40769,13121,5039,45808,53890,410,"339
"
0.1,0.7,64.139,65.166,63.669,71.314,81.588,74.492,73.01,86.735,67.293,75.184,83.475,62.76,74.513,84.898,75.628,81.518,93.262,57.817,28.909,13.274,43930,9960,3174,601,196,98,45,577,62.202,73.511,68.883,78.806,37121,16769,9983,47104,53890,240,"339
"
0.7,0.3,69.176,67.334,71.527,71.888,84.273,77.042,83.857,86.985,71.648,80.784,84.489,68.253,78.569,85.111,78.809,82.056,96.193,57.522,28.024,14.454,44220,9670,1750,129,195,95,49,266,66.352,81.172,75.207,88.164,40529,13361,5441,45970,53890,396,"339
"
0.9,0.0,69.178,67.265,71.604,71.653,84.513,76.77,84.145,87.019,71.569,80.642,84.553,68.185,78.473,85.154,78.72,81.752,96.424,56.637,28.024,15.339,44056,9834,1634,133,192,95,52,266,66.336,80.922,74.765,88.183,40291,13599,5399,45690,53890,398,"339
"
